# Time (s), Lath thickness (um)
2.000000000000000164e-05,0.000000000000000000e+00
1.601999999999999908e-04,0.000000000000000000e+00
3.003999999999999834e-04,0.000000000000000000e+00
4.405999999999999760e-04,0.000000000000000000e+00
5.808000000000000228e-04,0.000000000000000000e+00
7.209999999999999612e-04,0.000000000000000000e+00
8.612000000000000080e-04,0.000000000000000000e+00
1.001399999999999946e-03,0.000000000000000000e+00
1.141599999999999993e-03,0.000000000000000000e+00
1.281800000000000040e-03,0.000000000000000000e+00
1.422000000000000087e-03,0.000000000000000000e+00
1.562200000000000134e-03,0.000000000000000000e+00
1.702399999999999747e-03,0.000000000000000000e+00
1.842599999999999794e-03,0.000000000000000000e+00
1.982799999999999840e-03,0.000000000000000000e+00
2.030000000000000120e-03,0.000000000000000000e+00
2.170400000000000280e-03,0.000000000000000000e+00
2.310800000000000440e-03,0.000000000000000000e+00
2.451200000000000601e-03,0.000000000000000000e+00
2.591600000000000761e-03,0.000000000000000000e+00
2.732000000000000921e-03,0.000000000000000000e+00
2.872400000000001081e-03,0.000000000000000000e+00
3.012800000000001241e-03,0.000000000000000000e+00
3.153200000000001401e-03,0.000000000000000000e+00
3.293600000000001561e-03,0.000000000000000000e+00
3.434000000000001721e-03,0.000000000000000000e+00
3.574400000000001881e-03,0.000000000000000000e+00
3.714800000000002041e-03,0.000000000000000000e+00
3.855200000000002201e-03,0.000000000000000000e+00
3.995600000000001928e-03,0.000000000000000000e+00
4.049999999999999781e-03,0.000000000000000000e+00
4.189000000000000015e-03,0.000000000000000000e+00
4.328000000000000250e-03,0.000000000000000000e+00
4.467000000000000484e-03,0.000000000000000000e+00
4.606000000000000719e-03,0.000000000000000000e+00
4.745000000000000953e-03,0.000000000000000000e+00
4.884000000000001188e-03,0.000000000000000000e+00
5.023000000000001422e-03,0.000000000000000000e+00
5.162000000000001657e-03,0.000000000000000000e+00
5.301000000000001891e-03,0.000000000000000000e+00
5.440000000000002126e-03,0.000000000000000000e+00
5.579000000000002360e-03,0.000000000000000000e+00
5.718000000000002594e-03,0.000000000000000000e+00
5.857000000000002829e-03,0.000000000000000000e+00
5.996000000000003063e-03,0.000000000000000000e+00
6.000000000000000125e-03,0.000000000000000000e+00
6.140200000000000172e-03,0.000000000000000000e+00
6.280400000000000219e-03,0.000000000000000000e+00
6.420600000000000265e-03,0.000000000000000000e+00
6.560800000000000312e-03,0.000000000000000000e+00
6.701000000000000359e-03,0.000000000000000000e+00
6.841200000000000406e-03,0.000000000000000000e+00
6.981400000000000453e-03,0.000000000000000000e+00
7.121600000000000499e-03,0.000000000000000000e+00
7.261800000000000546e-03,0.000000000000000000e+00
7.402000000000000593e-03,0.000000000000000000e+00
7.542200000000000640e-03,0.000000000000000000e+00
7.682400000000000687e-03,0.000000000000000000e+00
7.822600000000000733e-03,0.000000000000000000e+00
7.962800000000000780e-03,0.000000000000000000e+00
8.009999999999999759e-03,0.000000000000000000e+00
8.150400000000000353e-03,0.000000000000000000e+00
8.290800000000000947e-03,0.000000000000000000e+00
8.431200000000001540e-03,0.000000000000000000e+00
8.571600000000002134e-03,0.000000000000000000e+00
8.712000000000002728e-03,0.000000000000000000e+00
8.852400000000003322e-03,0.000000000000000000e+00
8.992800000000003915e-03,0.000000000000000000e+00
9.133200000000004509e-03,0.000000000000000000e+00
9.273600000000005103e-03,0.000000000000000000e+00
9.414000000000005697e-03,0.000000000000000000e+00
9.554400000000006291e-03,0.000000000000000000e+00
9.694800000000006884e-03,0.000000000000000000e+00
9.835200000000007478e-03,0.000000000000000000e+00
9.975600000000008072e-03,0.000000000000000000e+00
1.003000000000000072e-02,0.000000000000000000e+00
1.017020000000000077e-02,0.000000000000000000e+00
1.031040000000000081e-02,0.000000000000000000e+00
1.045060000000000086e-02,0.000000000000000000e+00
1.059080000000000091e-02,0.000000000000000000e+00
1.073100000000000095e-02,0.000000000000000000e+00
1.087120000000000100e-02,0.000000000000000000e+00
1.101140000000000105e-02,0.000000000000000000e+00
1.115160000000000109e-02,0.000000000000000000e+00
1.129180000000000114e-02,0.000000000000000000e+00
1.143200000000000119e-02,0.000000000000000000e+00
1.157220000000000124e-02,0.000000000000000000e+00
1.171240000000000128e-02,0.000000000000000000e+00
1.185260000000000133e-02,0.000000000000000000e+00
1.199280000000000138e-02,0.000000000000000000e+00
1.204000000000000035e-02,0.000000000000000000e+00
1.217900000000000059e-02,0.000000000000000000e+00
1.231800000000000082e-02,0.000000000000000000e+00
1.245700000000000106e-02,0.000000000000000000e+00
1.259600000000000129e-02,0.000000000000000000e+00
1.273500000000000153e-02,0.000000000000000000e+00
1.287400000000000176e-02,0.000000000000000000e+00
1.301300000000000200e-02,0.000000000000000000e+00
1.315200000000000223e-02,0.000000000000000000e+00
1.329100000000000247e-02,0.000000000000000000e+00
1.343000000000000270e-02,0.000000000000000000e+00
1.356900000000000293e-02,0.000000000000000000e+00
1.370800000000000317e-02,0.000000000000000000e+00
1.384700000000000340e-02,0.000000000000000000e+00
1.398600000000000364e-02,0.000000000000000000e+00
1.399000000000000070e-02,0.000000000000000000e+00
1.413040000000000129e-02,0.000000000000000000e+00
1.427080000000000189e-02,0.000000000000000000e+00
1.441120000000000248e-02,0.000000000000000000e+00
1.455160000000000307e-02,0.000000000000000000e+00
1.469200000000000367e-02,0.000000000000000000e+00
1.483240000000000426e-02,0.000000000000000000e+00
1.497280000000000486e-02,0.000000000000000000e+00
1.511320000000000545e-02,0.000000000000000000e+00
1.525360000000000604e-02,0.000000000000000000e+00
1.539400000000000664e-02,0.000000000000000000e+00
1.553440000000000723e-02,0.000000000000000000e+00
1.567480000000000956e-02,0.000000000000000000e+00
1.581520000000000842e-02,0.000000000000000000e+00
1.595560000000000728e-02,0.000000000000000000e+00
1.600999999999999993e-02,0.000000000000000000e+00
1.615019999999999997e-02,0.000000000000000000e+00
1.629040000000000002e-02,0.000000000000000000e+00
1.643060000000000007e-02,0.000000000000000000e+00
1.657080000000000011e-02,0.000000000000000000e+00
1.671100000000000016e-02,0.000000000000000000e+00
1.685120000000000021e-02,0.000000000000000000e+00
1.699140000000000025e-02,0.000000000000000000e+00
1.713160000000000030e-02,0.000000000000000000e+00
1.727180000000000035e-02,0.000000000000000000e+00
1.741200000000000039e-02,0.000000000000000000e+00
1.755220000000000044e-02,0.000000000000000000e+00
1.769240000000000049e-02,0.000000000000000000e+00
1.783260000000000053e-02,0.000000000000000000e+00
1.797280000000000058e-02,0.000000000000000000e+00
1.802000000000000129e-02,0.000000000000000000e+00
1.816040000000000015e-02,0.000000000000000000e+00
1.830079999999999901e-02,0.000000000000000000e+00
1.844119999999999787e-02,0.000000000000000000e+00
1.858159999999999673e-02,0.000000000000000000e+00
1.872199999999999559e-02,0.000000000000000000e+00
1.886239999999999445e-02,0.000000000000000000e+00
1.900279999999999331e-02,0.000000000000000000e+00
